Symbol,EntryDate,EntryPrice,StopPrice,PlannedExitDate,ExitDate,ExitPrice,Reason,PnL
RELIANCE.NS,2017-09-28,353.2302129924847,340.6707455393544,2017-10-06,2017-10-06,369.75091552734375,TIME_EXIT,0.046770355216501525
HDFCBANK.NS,2017-12-06,424.6278933941459,416.9475951440188,2017-12-13,2017-12-13,424.9544982910156,TIME_EXIT,0.000769155540534916
RELIANCE.NS,2018-02-06,387.3981122361158,372.40155764003117,2018-02-14,2018-02-14,412.4221801757813,TIME_EXIT,0.06459522426483466
HDFCBANK.NS,2018-02-20,439.7468954521994,428.9715426006595,2018-02-27,2018-02-27,443.8999938964844,TIME_EXIT,0.009444292813060695
HDFCBANK.NS,2018-03-06,436.3054420713968,426.2219272034108,2018-03-13,2018-03-13,434.0306091308594,TIME_EXIT,-0.005213854151663644
RELIANCE.NS,2018-03-19,397.9996703267393,385.53222979566624,2018-03-26,2018-03-26,398.0438537597656,TIME_EXIT,0.00011101374277533438
RELIANCE.NS,2018-03-28,395.702642645587,384.0421299809074,2018-04-06,2018-04-06,402.4169616699219,TIME_EXIT,0.01696809245307107
INFY.NS,2018-04-09,451.9856027060338,437.8602620067671,2018-04-16,2018-04-16,455.2801818847656,TIME_EXIT,0.007289124164591154
RELIANCE.NS,2018-05-22,412.2012927812266,400.1752899619709,2018-05-29,2018-05-29,405.2661437988281,TIME_EXIT,-0.016824665773377934
RELIANCE.NS,2018-05-30,404.1176517445624,393.3658676901591,2018-06-06,2018-06-06,421.5881042480469,TIME_EXIT,0.043231104674752885
RELIANCE.NS,2018-06-28,427.7858611664616,414.3337590320723,2018-07-05,2018-07-05,428.8976135253906,TIME_EXIT,0.0025988525097524473
RELIANCE.NS,2018-10-05,488.9299261248213,461.5379282551596,2018-10-12,2018-10-08,461.5379282551596,STOP_ATR,-0.05602438387595987
HINDUNILVR.NS,2018-10-09,1387.0777112814458,1325.7562716127,2018-10-16,2018-10-10,1325.7562716127,STOP_ATR,-0.04420908732798701
RELIANCE.NS,2018-10-11,473.14367076089087,442.74624689158685,2018-10-19,2018-10-19,489.7303466796875,TIME_EXIT,0.03505631998019254
RELIANCE.NS,2018-10-22,493.5991103059648,462.7450316211335,2018-10-29,2018-10-24,462.7450316211335,STOP_ATR,-0.06250837580664592
RELIANCE.NS,2018-10-25,460.6924755387042,431.7548739053598,2018-11-01,2018-11-01,469.6973571777344,TIME_EXIT,0.01954640485174086
ICICIBANK.NS,2019-01-25,349.6062602236428,338.9551952866087,2019-02-01,2019-01-28,338.9551952866087,STOP_ATR,-0.030465887339147124
ICICIBANK.NS,2019-01-29,330.8885352240723,318.82756889404624,2019-02-05,2019-02-05,340.2474060058594,TIME_EXIT,0.02828405878568563
ICICIBANK.NS,2019-02-14,327.8975834347343,314.0112824431745,2019-02-21,2019-02-21,338.94488525390625,TIME_EXIT,0.033691318195917086
ICICIBANK.NS,2019-05-15,368.9028328138351,354.5461030223405,2019-05-22,2019-05-22,391.093994140625,TIME_EXIT,0.060154488805426176
ICICIBANK.NS,2019-07-19,405.1322813453038,393.15453596234926,2019-07-26,2019-07-22,393.15453596234926,STOP_ATR,-0.029565023412058355
ICICIBANK.NS,2019-07-23,399.2550081664304,387.4424268006495,2019-07-30,2019-07-30,411.3932800292969,TIME_EXIT,0.030402303326415803
SBIN.NS,2019-08-01,305.2346007031686,291.1299729614818,2019-08-08,2019-08-02,291.1299729614818,STOP_ATR,-0.04620913785394565
ICICIBANK.NS,2019-08-05,390.4052368371306,374.99918166099667,2019-08-13,2019-08-13,396.7887268066406,TIME_EXIT,0.016350933253933553
ICICIBANK.NS,2019-08-22,397.5141041905735,382.2026009892953,2019-08-29,2019-08-23,382.2026009892953,STOP_ATR,-0.03851813819903516
ICICIBANK.NS,2020-02-03,487.4625700164003,470.82084531135854,2020-02-10,2020-02-10,516.4297485351562,TIME_EXIT,0.05942441594599024
RELIANCE.NS,2020-11-02,919.1051761545776,873.8526287208746,2020-11-09,2020-11-03,873.8526287208746,STOP_ATR,-0.04923543965124222
RELIANCE.NS,2020-11-04,832.9532636853438,786.1311895064185,2020-11-11,2020-11-11,905.5928344726562,TIME_EXIT,0.08720725874333413
RELIANCE.NS,2020-11-20,895.5266860839987,851.5787108148129,2020-11-27,2020-11-27,875.0316162109375,TIME_EXIT,-0.022886051517552186
AXISBANK.NS,2021-04-12,648.2930819778234,611.0533027721649,2021-04-20,2021-04-20,649.0400390625,TIME_EXIT,0.0011521904296707408
SBIN.NS,2021-04-22,300.8055821288189,282.0149678932567,2021-04-29,2021-04-29,331.62432861328125,TIME_EXIT,0.10245403780859474
SBIN.NS,2021-08-20,386.4627644287661,371.2508225866343,2021-08-27,2021-08-27,384.088134765625,TIME_EXIT,-0.00614452382405084
RELIANCE.NS,2021-12-20,1054.6495980178693,1010.1066572525687,2021-12-27,2021-12-27,1078.4921875,TIME_EXIT,0.022607119489677974
SBIN.NS,2021-12-29,429.2996338629338,411.866625920758,2022-01-05,2022-01-05,458.5404052734375,TIME_EXIT,0.06811273316818078
SBIN.NS,2023-01-27,537.1965521891551,518.0041863578822,2023-02-03,2023-01-30,518.0041863578822,STOP_ATR,-0.035726896892880666
ITC.NS,2023-08-08,411.3994030452977,399.56614686196474,2023-08-16,2023-08-16,405.3229064941406,TIME_EXIT,-0.014770309597381681
ITC.NS,2023-08-17,405.0978292949212,392.87305515278786,2023-08-24,2023-08-24,405.9080505371094,TIME_EXIT,0.002000063154123488
ITC.NS,2023-08-25,405.90803936819486,394.7805820581439,2023-09-01,2023-08-31,394.7805820581439,STOP_ATR,-0.027413739642533574
ITC.NS,2023-09-01,396.0956779898854,385.8648126353943,2023-09-08,2023-09-08,398.4812622070313,TIME_EXIT,0.006022747406011275
ITC.NS,2023-10-04,395.8706091526373,386.105873630587,2023-10-11,2023-10-11,403.5224914550781,TIME_EXIT,0.019329250834811074
ITC.NS,2023-10-23,394.29521421317946,384.83626786194196,2023-10-31,2023-10-25,384.83626786194196,STOP_ATR,-0.023989503322055072
ITC.NS,2023-10-26,386.6883714565521,376.87175030495143,2023-11-02,2023-11-02,388.1287841796875,TIME_EXIT,0.003724996222952859
ITC.NS,2024-01-29,410.4091679616553,398.08339004797597,2024-02-05,2024-01-30,398.08339004797597,STOP_ATR,-0.03003290100680933
INFY.NS,2024-03-27,1408.4612802603947,1362.7781615597582,2024-04-04,2024-04-04,1399.7054443359375,TIME_EXIT,-0.006216596826033038
ITC.NS,2024-10-09,474.5230030796613,461.4295881614198,2024-10-16,2024-10-10,461.4295881614198,STOP_ATR,-0.027592792832518143
ITC.NS,2024-10-11,458.8855300627704,446.36842094336566,2024-10-18,2024-10-18,446.36842094336566,STOP_ATR,-0.027277192893165547
ITC.NS,2024-10-21,453.0214708169555,440.52956449247523,2024-10-28,2024-10-24,440.52956449247523,STOP_ATR,-0.027574645197175784
ITC.NS,2024-10-25,442.8756969116362,429.33237852022637,2024-11-01,2024-11-01,456.3723754882813,TIME_EXIT,0.030475094187292884
ITC.NS,2024-11-05,449.5309522164633,436.7503096962935,2024-11-12,2024-11-12,440.1298828125,TIME_EXIT,-0.020913063622449712
ITC.NS,2024-11-14,438.5940712100893,426.8303951962775,2024-11-25,2024-11-21,426.8303951962775,STOP_ATR,-0.02682132930195702
ITC.NS,2024-12-04,441.5726121335174,428.23165346831274,2024-12-11,2024-12-11,433.0557556152344,TIME_EXIT,-0.01928755607629895
ITC.NS,2024-12-12,433.2884775471648,421.2277327914817,2024-12-19,2024-12-13,421.2277327914817,STOP_ATR,-0.027835369230122864
